Employer_id;Employer_name;Total_working_position;Employer_state
500000;Amazon Services;74621;WA
500001;Amazon Web;18423;WA
500002;Amazon Development;10000;WA
500003;Amazon Data;3414;WA
500004;Amazon Media;39;WA
500005;Aws Security;2;WA
500006;Elemental ;64;WA
500007;Annapurna Labs;119;WA
500008;Amazon Payments;76;WA
500009;Amazon Advertising;716;WA
500010;Fabric ;69;WA
500011;Imdb ;102;WA
500012;Twitch Interactive;690;WA
500013;Caspr Biotech;4;WA
500014;Piack ;447;WA
500015;Bop ;50;WA
500016;A9 ;176;WA
500017;Goodreads ;29;WA
500018;Amazon Logistics;7;WA
500019;Amazon ;52;WA
500020;Amazon Digital;5;WA
500021;Aci Gift;44;WA
500022;Woot Services;23;WA
500023;Amazon Studios;61;WA
500024;Amazon Capital;27;WA
500025;Amazon Registry;27;WA
500026;Bludiagnostics ;5;WA
500027;Amazon Retail;18;WA
500028;Prime Now;63;WA
500029;Amazon Robotics;3;WA
500030;Science Solutions;49;WA
500031;Woot ;12;WA
500032;Sts Lab;2;WA
500033;Amazon Kuiper;1;WA
500034;Iconology ;1;WA
500035;Amazon Mechanical;12;WA
500036;Western Oregon;1;OR
500037;Case Western;84;OH
500038;University Of;6301;NC
500039;Rrc Power;5;TX
500040;Fit3 ;1;CA
500041;Belmont University;10;TN
500042;Ringcentral ;81;CA
500043;Wealthfront ;15;CA
500044;Moengage ;1;CA
500045;Vankay ;18;NC
500046;United Software;126;TX
500047;Cerner ;561;MO
500048;Fujitsu Technology;29;CA
500049;Sygnusit ;4;TX
500050;Fred Hutchinson;98;WA
500051;Moore Law;3;AZ
500052;Consulting Professionals;6;NY
500053;Nubes Opus;3;MO
500054;Strategic Staffing;81;MI
500055;Emergtech Business;63;MI
500056;Bryan International;1;TX
500057;Agile It;28;TX
500058;Arizona State;134;AZ
500059;Enscope It;2;GA
500060;Praitech ;2;TX
500061;Meridiansoft ;26;OH
500062;Tao9999 ;1;FL
500063;Sage It;104;TX
500064;Ingress It;1;VA
500065;Jpc Techno;7;AZ
500066;Kings River;3;CA
500067;Level Up;2;CA
500068;Top Pick;2;CA
500069;Uft Professional;1;CA
500070;Delta Dental;73;MI
500071;Utbattelle ;206;TN
500072;University ;26;CO
500073;Ut Southwestern;209;TX
500074;Gestion Global;1;FL
500075;California State;189;CA
500076;Virtual Networx;46;TX
500077;Unique Computing;6;VA
500078;5B ;2;TX
500079;Rutgers The;142;NJ
500080;Abercrombie ;154;OH
500081;Caterpillar ;255;IL
500082;Amicus Global;27;CA
500083;Texas Am;317;TX
500084;Kriddha ;19;GA
500085;Virt Consulting;244;NJ
500086;Datacore ;18;PA
500087;Prowesys ;42;TX
500088;Maantic ;20;CA
500089;Nguyen And;1;TX
500090;Vdrive It;26;TX
500091;Inteliroute ;68;IA
500092;Food And;60;MD
500093;Etech Global;19;CA
500094;Trans Bay;1;FL
500095;Tufts University;40;MA
500096;Quest It;58;TX
500097;Nextera Energy;37;FL
500098;Authenticated User;1;NV
500099;Georgia Institute;109;GA
500100;Softcom ;41;NJ
500101;Edifecs ;90;WA
500102;Yale University;242;CT
500103;The Pennsylvania;171;PA
500104;California Institute;158;CA
500105;Northwestern University;241;IL
500106;Florida Power;25;FL
500107;Ace ;3;CA
500108;Sanford Bismarck;12;ND
500109;Innova Solutions;72;GA
500110;Ihs Global;40;NY
500111;Mentour ;5;NJ
500112;Sanford Clinic;39;ND
500113;Washington State;56;WA
500114;Logic Planet;63;NJ
500115;Meta Platforms;7594;CA
500116;Synapse Design;18;CA
500117;Markit North;116;NY
500118;Penske Racing;2;NC
500119;Bhp St;1;MI
500120;Apps Consultants;10;CO
500121;Erplabs ;21;OR
500122;Qverge ;12;GA
500123;Global Sumi;31;VA
500124;Fogarty Finger;19;NY
500125;Miri Infotech;3;CA
500126;Fpl Energy;1;FL
500127;Slce Architects;1;NY
500128;Solar Turbines;8;CA
500129;Kiewit Power;8;NE
500130;Icuro ;4;CA
500131;Gordon Prill;1;CA
500132;Cornell University;116;NY
500133;Nextera Analytics;3;FL
500134;Disney Parks;20;CA
500135;Law Offices;12;MD
500136;Jb Hunt;189;AR
500137;Disney Streaming;23;CA
500138;Hamaara ;10;CA
500139;Prt Distributors;1;DE
500140;Universal Herbs;2;CA
500141;It Premia;116;NJ
500142;Caterpillar Logistics;2;IL
500143;The University;2048;GA
500144;Carfax ;18;NY
500145;Gonzaga University;10;WA
500146;People Tech;39;DE
500147;Pentangle Tech;25;MI
500148;Sports And;1;IL
500149;Sanford Research;2;SD
500150;Cyber Sainik;1;CO
500151;Rva Physicaltherapy;1;VA
500152;Autel Us;2;NY
500153;End To;5;GA
500154;Automotivemastermind ;6;NY
500155;Gallega Software;25;Unknown
500156;Greenberg ;1;CA
500157;Gb ;1;CA
500158;Gb Law;1;CA
500159;Brandeis University;44;MA
500160;Columbia University;361;NY
500161;Cricket ;1;CA
500162;Monmouth University;4;NJ
500163;Hofstra University;8;NY
500164;Massachusetts Bay;1;MA
500165;Tecsource International;2;AR
500166;Miami Center;1;FL
500167;Afficiency ;2;NY
500168;Palo Alto;1816;CA
500169;Novo Proso;4;MO
500170;National Institutes;256;MD
500171;Nexgen It;4;PA
500172;Bayview Physician;42;VA
500173;Markitserv ;5;NY
500174;National Geographic;2;CA
500175;Ramswar ;1;VA
500176;Viacomcbs ;6;NY
500177;Bisonte Industrial;6;MD
500178;Terspa ;6;MD
500179;Millantu Foods;2;FL
500180;Rossbach International;1;FL
500181;Fleet Of;1;FL
500182;Comercializadora Pacifico;1;FL
500183;Shaper Tools;1;CA
500184;Blockapps ;3;NY
500185;State Street;248;NY
500186;Ntc Trucking;2;OK
500187;Kevin Vfx;1;CA
500188;Synectiks ;18;NJ
500189;Cobaltix ;1;CA
500190;Hole In;3;NY
500191;Marin Primary;1;CA
500192;Amaya Tech;1;CA
500193;The Elder;1;CA
500194;Okendo ;2;FL
500195;The Citrine;1;NY
500196;Amour Jeans;1;CA
500197;Carrollton Rvii;1;MO
500198;Lasso Loop;1;CA
500199;Stratus Meridian;26;CA
500200;Marshall Conway;3;NY
500201;Auto Car;3;WA
500202;More Than;2;IL
500203;Arcturus Healthcare;4;GA
500204;Techspheresolutions ;5;TX
500205;Techulent Solutions;4;NJ
500206;Gradientbase Solutions;2;TX
500207;Ultimatea Tech;2;CA
500208;Trinity Software;7;GA
500209;Nimbleworks ;2;IL
500210;Maryada Technology;2;NJ
500211;Infodyne Solutions;3;NC
500212;Talix ;1;CA
500213;Aventure ;18;MI
500214;Theiss Research;5;CA
500215;Albert Einstein;91;NY
500216;Lucid Info;6;CA
500217;Alabama School;2;AL
500218;Michigan Technological;20;MI
500219;Minneapolis Va;4;MN
500220;Barbara Ann;3;MI
500221;Rogers State;1;OK
500222;Oak Ridge;2;TN
500223;Harmony School;14;TX
500224;Tsang ;3;CA
500225;Tufts Medical;29;MA
500226;Imperio ;71;GA
500227;Fastvdo ;4;FL
500228;Cameron University;6;OK
500229;Bluecube ;4;GA
500230;Prinston Pharmaceutical;4;NJ
500231;Harmony Science;13;TX
500232;American Oncologic;7;PA
500233;New New;1;GA
500234;Hampton University;1;VA
500235;Neway Medical;1;NY
500236;Dizer ;42;OH
500237;The Research;41;PA
500238;University Pediatricians;3;MI
500239;Roche Bobois;1;NY
500240;Crawford ;6;GA
500241;Emory University;263;GA
500242;Apex Title;1;OK
500243;Eagle Shipping;1;CT
500244;Apex Bait;2;CA
500245;Green Metro;1;IL
500246;Rpnc ;1;NJ
500247;Chemtech Innovators;1;OH
500248;Xit Solutions;8;IL
500249;Tallmans Pharmacy;1;WA
500250;Midwest Asian;1;IL
500251;Primoris ;28;TX
500252;Sanford Health;3;SD
500253;Carnegie Mellon;114;PA
500254;Broadrange ;110;NJ
500255;Mayuktha It;25;FL
500256;Mak ;33;OH
500257;The Central;2;MD
500258;Gerbera ;38;MO
500259;Cugene ;1;MA
500260;Pistos It;35;GA
500261;Ourmemos ;1;NJ
500262;Pei Architects;1;NY
500263;Forestindo ;1;CA
500264;Datang Catering;2;CA
500265;Focalone Soft;19;CA
500266;Verinon Technology;79;IL
500267;Fugen It;20;NJ
500268;Recursion ;1;TX
500269;Technograph ;2;MO
500270;Thornton Tomasetti;45;NY
500271;Qforce It;33;GA
500272;Techfield ;1;GA
500273;Zmac Transportation;1;WI
500274;Alabama State;6;AL
500275;Erk Consulting;2;GA
500276;Quintara Discovery;2;CA
500277;It Rysources;16;MI
500278;Voltex ;9;GA
500279;Nan ;13;GU
500280;Sai ;34;CT
500281;Ngs Infonet;7;VA
500282;Veria Lifestyle;1;NY
500283;Advanced Image;4;TX
500284;Sdg ;2;CT
500285;Tristar Consultancy;2;NC
500286;Ackerman ;7;CA
500287;Techalpha ;20;TX
500288;Education Research;1;TX
500289;Tech Talent;9;CO
500290;Etekserve ;6;DE
500291;Ctrlcs ;3;CA
500292;Krishna Balram;1;CA
500293;Geometric Americas;40;MI
500294;Hcl America;3282;CA
500295;Hellmuth Obata;2;MO
500296;American Home;30;TN
500297;Perspecta Enterprise;3;VA
500298;Perspecta State;13;VA
500299;Memphis Light;6;TN
500300;Buckman Laboratories;3;TN
500301;Horiba Instruments;2;CA
500302;Village Global;1;CA
500303;Oxefit ;1;TX
500304;La Sierra;2;CA
500305;Adedge Water;2;GA
500306;Rakuten Mobile;1;CA
500307;Datavail ;16;CO
500308;Winsupply ;5;OH
500309;Ab Foundry;3;OH
500310;Mitac Information;1;CA
500311;Msn Pharmaceuticals;6;NJ
500312;Morgan Stanley;846;NY
500313;Etrade Financial;37;VA
500314;Dell Products;217;TX
500315;Emc ;329;TX
500316;Secureworks ;38;TX
500317;Dell Marketing;96;TX
500318;Irobot ;44;MA
500319;Barclays Bank;48;NY
500320;Avangrid Service;5;CT
500321;Barclays Capital;76;NY
500322;Goldman Sachs;2459;NJ
500323;Circle K;10;AZ
500324;Barclays Services;586;NY
500325;General Reinsurance;6;CT
500326;R R;14;IL
500327;Wayfair ;1067;MA
500328;Molex ;65;IL
500329;Kbx Technology;1;KS
500330;Marvell Semiconductor;172;CA
500331;Donnelley Financial;4;IL
500332;Kennecott Utah;19;UT
500333;Koch Business;4;KS
500334;Optimized Process;1;KS
500335;Open Text;38;MD
500336;Ponyai ;46;CA
500337;Cintal ;4;IL
500338;Fieldera ;1;CA
500339;Zonge International;2;AZ
500340;Guardian Glass;3;MI
500341;Doheny Eye;1;CA
500342;Inv Nylon;4;KS
500343;Jh Dental;2;TX
500344;J ;10;TX
500345;Vernon Smiles;1;TX
500346;French ;6;CA
500347;Sentient Energy;4;KS
500348;Custom Calibration;3;NJ
500349;Professional Service;14;VA
500350;Geek Genix;2;TX
500351;Eugenus ;6;CA
500352;Dell ;294;TX
500353;Andes Investments;2;FL
500354;Pacific Solutions;1;FL
500355;Horizon Science;27;OH
500356;Savygen ;2;CA
500357;Acutabove Concrete;2;CA
500358;Navatio Pharma;2;SC
500359;Sunpower S;266;CA
500360;Sunpower ;57;CA
500361;Philips Rs;79;PA
500362;Hp ;1116;TX
500363;Cisco ;17846;CA
500364;Adobe ;896;CA
500365;Informatica ;1399;CA
500366;Lsi ;34;CA
500367;Broadcom ;287;CA
500368;Brocade Communications;70;CA
500369;Avago ;57;CA
500370;Ca ;147;CA
500371;Sensors ;4;MI
500372;Bayer ;126;MO
500373;Environmental ;124;CA
500374;Newracom ;5;CA
500375;Intellipro ;14;CA
500376;Christopher Huang;7;CA
500377;Wm Rice;58;TX
500378;Google ;10486;CA
500379;Attain Consulting;1;UT
500380;Genisys Controls;2;OK
500381;Wing Aviation;27;CA
500382;Autozone ;48;TN
500383;Archbold Medical;1;GA
500384;Asana ;92;CA
500385;Gv Management;1;CA
500386;Ketos ;5;CA
500387;Waymo ;261;CA
500388;Thomson Reuters;36;NY
500389;Psi Services;4;CA
500390;Imaging Consultants;1;NJ
500391;Balluff ;3;KY
500392;Mcdonalds ;1;IL
500393;Aspire Bakeries;4;IL
500394;Verily Life;103;CA
500395;Gridics ;1;FL
500396;Bkfs I;47;FL
500397;Gridx ;8;CA
500398;Bennington College;2;VT
500399;Euromarket Designs;10;IL
500400;Farasis Energy;8;CA
500401;Aibee Us;4;CA
500402;California Universitysilicon;1;CA
500403;Servicelink Services;2;PA
500404;St Joseph'S;10;NY
500405;Servicelink Management;15;PA
500406;Kz Kitchen;2;CA
500407;Consumerinfo ;35;CA
500408;Perigon Infotech;31;NC
500409;Cenla Kidney;2;LA
500410;Prosci ;1;CA
500411;Citi Credit;194;NY
500412;Jumpcloud ;10;CO
500413;Oral Roberts;3;OK
500414;Telluride School;5;CO
500415;Salinas Union;3;CA
500416;Agbayani Construction;1;CA
500417;Infotechorg ;1;TN
500418;Detroit Import;2;FL
500419;Weee ;46;CA
500420;Uplift Labs;2;CA
500421;Werum It;5;NJ
500422;Emeco Industires;2;CA
500423;Schf Veg;4;NY
500424;West Publishing;7;MN
500425;Swa ;18;CA
500426;Platinum Stevedoring;1;TX
500427;Nike ;472;OR
500428;Covestro ;7;PA
500429;Flyhomes ;7;WA
500430;Mtc ;1;NY
500431;Mcrt Resources;2;WA
500432;International Paper;14;TN
500433;Forsman Farms;1;MN
500434;Cs Bio;2;CA
500435;Citifox ;1;CA
500436;Hyundai Motor;3;CA
500437;Avnet ;13;AZ
500438;Arktura ;2;CA
500439;Ssc ;33;CT
500440;Continental Casualty;38;IL
500441;Crosscircles ;3;CA
500442;Zhongli North;1;MI
500443;Tri Cs;1;CO
500444;Serra Community;3;CA
500445;Benjamin Moore;11;NJ
500446;Pods Enterprises;4;FL
500447;Dentsply Sirona;12;NC
500448;Indiana Healthcare;2;PA
500449;Crestridge Consulting;1;CA
500450;T Y;12;CA
500451;Kunal ;1;VT
500452;Roblox ;126;CA
500453;Sparkcharge ;2;MA
500454;Platinum Empire;2;CA
500455;Socrates Academy;1;NC
500456;Payjoy ;18;CA
500457;Backen ;4;CA
500458;Lsa Associates;1;CA
500459;Duracell Industrial;4;CA
500460;Frick Paper;1;CA
500461;Bte ;2;MD
500462;Jd American;5;CA
500463;Zuora ;51;CA
500464;Unified Patents;1;DC
500465;Studio Tsq;3;CA
500466;Eric Zhang;2;CA
500467;Day ;8;PA
500468;Dig Studio;1;CO
500469;Saint Anthony;3;IL
500470;Simmons University;2;MA
500471;Sungrow ;8;AZ
500472;Concurrent Realtime;1;FL
500473;Pearson Kent;2;KS
500474;Shelby County;14;TN
500475;San Benito;1;CA
500476;Acclaim ;17;PA
500477;Judlau Contracting;2;NY
500478;Cista Design;1;CA
500479;Grand Supercenter;3;NJ
500480;Laboratory ;58;NC
500481;Click2Cloud ;2;WA
500482;A ;28;CA
500483;Infusion Software;14;AZ
500484;Ventus Wireless;2;CT
500485;Dsm Nutritional;2;NY
500486;Techevon ;1;SC
500487;Jd Emerce;1;CA
500488;Weride ;25;CA
500489;Innovative Electronics;2;PA
500490;Bonfiglioli ;1;KY
500491;Welding Alloys;1;KY
500492;Commex ;1;CA
500493;Actiontec Electronics;1;CA
500494;Pctest Engineering;2;MD
500495;Lnj Capital;1;CA
500496;Adams Keegan;1;TN
500497;Marucco Stoddard;1;IL
500498;Plat Studio;1;CA
500499;Marin ;1;TX
500500;Caddy Daddy;1;CA
500501;Excellus Health;16;NY
500502;Deliverlogic ;1;FL
500503;J Arthur;1;CA
500504;Cambrex Charles;14;IA
500505;Hamilton Physician;1;GA
500506;Icertis ;19;WA
500507;Pacific Investment;122;CA
500508;Spectrum Lighting;1;MA
500509;Kremers Urban;2;IN
500510;Symbiontio ;2;NY
500511;Experian Information;90;CA
500512;Absolute Fabrication;1;TX
500513;Matt Ellis;1;TX
500514;Barracuda Networks;12;CA
500515;Point72 Asset;25;CT
500516;Point72 ;36;CT
500517;Southeast Georgia;3;GA
500518;Biocrede ;1;MI
500519;Honda Research;9;CA
500520;Vida Products;1;CA
500521;Chen ;11;CA
500522;Terminix International;19;TN
500523;Kohl'S ;66;WI
500524;Mckesson ;116;TX
500525;Mhill Consulting;4;MA
500526;Steris ;25;OH
500527;Dicon Fiberoptics;2;CA
500528;Ionis Pharmaceuticals;3;CA
500529;Cmes ;5;GA
500530;Airtecs ;2;MI
500531;Kumen ;1;UT
500532;Lowell Observatory;1;AZ
500533;Genie'S Gymnastics;1;FL
500534;Cleary Gottlieb;25;NY
500535;Duferco Steel;1;NJ
500536;Avove Technology;2;CA
500537;Dunedin Ms;3;TX
500538;Wefunder ;4;CA
500539;Gagosian Gallery;2;NY
500540;Greenhouse Agency;1;CA
500541;Vgw Us;2;CA
500542;Sharon Academy;1;NC
500543;Special ;1;CA
500544;Persuit ;4;NY
500545;Scott Coatings;1;WA
500546;Smartsens ;1;CA
500547;Becton Dickinson;166;NJ
500548;Azimuth Capital;1;CA
500549;Blueprint Medicines;16;MA
500550;Preton Globalsynthesis;1;PA
500551;Elevax ;5;TX
500552;Sensory Spectrum;1;NJ
500553;Gam Enterprises;2;IL
500554;Maark ;5;MA
500555;Fitzemeyer ;2;MA
500556;Unicredit Bank;3;NY
500557;Boston Scientific;101;MA
500558;Svsummit ;2;CA
500559;Afficient Academy;2;CA
500560;Canadian Valley;1;OK
500561;Spellman High;8;NY
500562;Ensemblex ;1;IL
500563;Titan Golden;1;CA
500564;Ocm Globe;2;CA
500565;Stoneline ;1;FL
500566;Clinics Of;2;TX
500567;Draftea ;1;NY
500568;Jd Finance;9;CA
500569;Nasuni ;6;MA
500570;Zelos Technology;2;CA
500571;Big River;9;AR
500572;Dreamrs Technology;3;NJ
500573;Estes Express;13;VA
500574;Spot Ai;2;CA
500575;Veery Technology;1;CA
500576;Nassau Machines;1;NY
500577;Terminix Bsc;1;TN
500578;Altura Centers;6;CA
500579;Clinica De;4;CA
500580;Fermat Commerce;3;CA
500581;Interscripts ;5;VA
500582;Smithmiller Hawkinson;1;NY
500583;Northern ;1;MN
500584;Gayner Engineers;3;CA
500585;Techfit Digital;1;FL
500586;Meomind ;4;CA
500587;Aviagames ;1;CA
500588;Mm1 ;13;MI
500589;Universal Processing;3;NY
500590;Fried Frank;14;NY
500591;Data Solutions;44;MI
500592;Robert Silman;4;DC
500593;Fletcher Studio;3;CA
500594;Indicia Labs;1;CA
500595;Mindray Animal;3;NJ
500596;Noble Academycolumbus;3;OH
500597;Voya Services;25;NY
500598;Druva ;5;CA
500599;Jf Electric;2;IL
500600;Brooks Automation;16;MA
500601;Dsm Biomedical;2;PA
500602;Athelas ;1;CA
500603;Spring Bank;1;NY
500604;Fespro International;4;CA
500605;Theory ;3;NY
500606;Sysrs It;20;MD
500607;Enduro Pipeline;1;OK
500608;Precision Castings;1;CA
500609;Primarius ;1;CA
500610;Radienz Living;1;IL
500611;Weave Grid;1;CA
500612;Ta Partners;3;CA
500613;Credit Suisse;498;NY
500614;Seagate Us;54;CA
500615;Enervenue ;3;CA
500616;Seagate ;23;CA
500617;Climateai ;1;CA
500618;Roviero ;2;CA
500619;Lynbrook Glass;1;NY
500620;Nextogen ;5;CA
500621;Belkin International;12;CA
500622;Centerview Partners;8;NY
500623;Turing Enterprises;21;CA
500624;Asc Therapeutics;1;CA
500625;Carl Zeiss;22;NY
500626;Ivy Enterprises;7;NY
500627;On Demand;33;MD
500628;Embark People;1;TX
500629;Stack Infrastructure;1;CO
500630;Tci Biotech;1;UT
500631;Clinicas Del;5;CA
500632;Legend Otc;1;CA
500633;Intel Grids;1;CA
500634;Mahon Development;3;CA
500635;Ameristar Staffing;12;NY
500636;Horizon Tire;2;CA
500637;Katrisk ;2;CA
500638;Radio Korea;1;CA
500639;Mj System;3;AL
500640;Woomi ;1;CA
500641;Far Harbor;1;TX
500642;Siig ;1;CA
500643;Everymarket ;8;MO
500644;Ave Maria;5;MI
500645;Harvard Square;1;MA
500646;H J;1;CA
500647;Fougeron Architecture;2;CA
500648;Silk Software;1;CA
500649;Myron L;1;CA
500650;China Custom;2;CA
500651;The Akia;1;CA
500652;Smart Software;2;MA
500653;Azenta ;14;NJ
500654;Tgs Technology;4;NC
500655;Deoworks ;1;NY
500656;Aoc ;3;TN
500657;Vergesense ;1;CA
500658;Xes International;2;MA
500659;Trojan Tech;2;CA
500660;Kreassive ;1;CA
500661;Cinnati Test;1;OH
500662;Pickering Firm;1;TN
500663;Simp Consulting;1;NY
500664;Abzena San;2;CA
500665;Arinspect ;3;VA
500666;Enke ;1;TX
500667;Stallion Insurance;1;MN
500668;Privoce ;2;MI
500669;Crossing Media;3;CA
500670;Q9 Software;10;MD
500671;Pingpong Global;4;CA
500672;Whatnot ;6;CA
500673;Okg ;5;CA
500674;Terremoto ;1;CA
500675;Navigant Educational;1;VA
500676;Emerson Professional;5;AR
500677;Saleae ;1;CA
500678;Rustchat ;3;WA
500679;Diffbot ;1;CA
500680;Watson Design;1;CA
500681;Plasdent ;2;CA
500682;Latitude Pharmaceuticals;1;CA
500683;Pharmvista Gummy;3;NJ
500684;Two Men;2;MI
500685;Mtbl Global;1;NY
500686;Novergy Chemicals;1;FL
500687;Manases Enterprises;2;KS
500688;Al Fintech;1;NY
500689;Perkinelmer Informatics;8;MA
500690;Gotion ;8;CA
500691;Farooq And;1;TX
500692;Aspire Pharmaceuticals;2;NJ
500693;Post Glover;1;KY
500694;Magnolia Physician;1;MS
500695;Pearl Banyan;3;NM
500696;Roxe ;1;NY
500697;Cti Tech;1;PA
500698;True Love;2;MD
500699;Ideal Dental;3;GA
500700;Cerise Infotech;5;CA
500701;Vel True;8;AL
500702;The Marshall;2;NC
500703;Veevx ;2;AZ
